Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:03:15.7 PM,2:58.3,29.8,2.81,7.3,338,682,731,-11.4,50.4,89.3,70.8,-56.4,32.9,10.0,8.5,534,1.010,,50.1,49.9
2,5:03:17.7 PM,2:46.1,33.1,3.01,7.9,342,620,678,-10.5,52.3,92.2,72.6,-58.7,33.4,10.7,8.9,574,0.914,,50.5,49.5
3,5:03:19.5 PM,2:33.8,34.5,3.25,6.7,357,621,675,-6.4,56.0,92.3,69.1,-58.1,34.2,14.3,8.9,583,0.824,,47.4,52.6
4,5:03:21.3 PM,2:20.5,32.5,3.56,8.1,325,599,629,-11.9,50.0,90.9,72.9,-57.4,33.6,10.7,7.3,515,0.931,,50.4,49.6
5,5:03:23.1 PM,2:07.7,35.4,3.91,7.6,362,614,668,-9.8,52.2,86.6,69.6,-55.1,31.6,11.4,5.6,512,0.827,,48.8,51.2
6,5:03:24.8 PM,2:00.8,32.6,4.14,7.9,341,628,684,-9.6,52.9,86.7,71.7,-55.4,31.3,9.6,5.3,589,0.930,,50.5,49.5
7,5:03:26.7 PM,1:57.8,34.5,4.24,7.7,331,575,638,-5.7,56.0,87.4,69.2,-54.7,32.8,11.6,6.7,555,0.885,,50.8,49.2
8,5:03:28.4 PM,1:54.6,35.4,4.36,8.2,336,570,642,-6.8,54.2,89.0,66.7,-55.1,33.9,12.8,9.5,558,0.885,,52.2,47.8
9,5:03:30.1 PM,1:50.7,34.5,4.52,8.3,353,614,657,-6.8,53.9,90.0,72.4,-55.3,34.7,10.4,7.2,572,0.826,,47.5,52.5
10,5:03:31.8 PM,1:49.6,34.8,4.56,7.7,294,507,623,-5.6,58.0,89.9,66.5,-57.7,32.3,15.2,8.2,546,0.825,,47.8,52.2
11,5:03:33.6 PM,1:49.6,35.4,4.56,7.2,348,589,697,-6.9,54.3,87.9,68.3,-54.6,33.3,12.0,7.5,538,0.856,,50.5,49.5
12,5:03:35.3 PM,1:48.6,36.7,4.60,7.7,323,528,625,-12.7,48.2,86.2,68.9,-54.2,32.0,10.3,6.9,496,0.809,,49.5,50.5
13,5:03:36.9 PM,1:47.9,37.4,4.63,7.2,324,521,660,-3.3,56.0,85.0,61.6,-50.9,34.1,14.4,9.0,535,0.794,,49.5,50.5
14,5:03:38.5 PM,1:49.4,35.7,4.57,7.7,305,512,611,-10.8,49.2,85.7,62.5,-52.9,32.8,15.1,8.1,502,0.795,,47.3,52.7
15,5:03:40.2 PM,1:50.3,37.1,4.53,7.6,335,543,573,-11.3,50.4,89.5,67.0,-56.4,33.1,13.0,9.6,492,0.882,,54.5,45.5
16,5:03:41.8 PM,1:49.6,35.7,4.56,7.3,364,611,708,-8.6,54.2,86.9,69.4,-55.7,31.3,10.3,7.3,506,0.915,,54.4,45.6
17,5:03:43.5 PM,1:49.3,38.1,4.58,7.2,355,560,653,-10.3,51.7,89.2,68.1,-56.4,32.8,10.8,10.3,510,0.840,,53.3,46.7
18,5:03:45.1 PM,1:50.4,37.4,4.53,6.9,324,520,612,-4.7,56.9,85.8,64.2,-53.4,32.3,15.4,6.2,539,0.794,,49.5,50.5
19,5:03:46.7 PM,1:50.6,37.0,4.52,7.1,353,571,691,-12.7,48.3,84.3,64.6,-53.4,30.9,12.9,6.7,532,0.825,,50.9,49.1
20,5:03:48.3 PM,1:50.6,34.5,4.52,8.3,301,524,659,-10.9,51.7,86.4,67.3,-55.5,30.9,11.5,7.6,546,0.886,,50.9,49.1
21,5:03:50.0 PM,1:51.3,37.4,4.49,6.8,363,583,652,-6.2,57.1,89.6,69.0,-57.4,32.2,10.7,9.9,525,0.869,,54.1,45.9
