Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:03:15.7 PM,2:54.6,30.3,2.86,7.4,280,555,625,-18.1,44.3,79.5,58.8,-53.2,26.3,11.4,9.3,553,1.036,,52.3,47.7
2,5:03:17.7 PM,2:46.5,33.4,3.00,6.3,297,533,652,-14.4,46.9,76.2,53.6,-50.2,26.0,12.1,10.4,627,0.957,,53.2,46.8
3,5:03:19.5 PM,2:35.0,33.6,3.23,7.2,296,528,647,-19.8,41.3,77.3,54.3,-51.7,25.6,12.3,10.7,526,0.944,,52.9,47.1
4,5:03:21.3 PM,2:19.5,34.2,3.58,7.9,272,478,610,-12.7,47.9,74.6,49.3,-48.4,26.1,14.3,11.0,632,0.886,,50.5,49.5
5,5:03:23.0 PM,2:08.2,33.0,3.90,7.8,260,472,624,-17.6,43.2,77.1,53.6,-50.9,26.2,12.5,10.9,432,0.930,,51.2,48.8
6,5:03:24.8 PM,2:02.5,35.7,4.08,6.8,308,517,623,-21.2,38.6,76.8,54.9,-50.9,25.9,11.5,10.4,469,0.857,,51.0,49.0
7,5:03:26.5 PM,1:59.1,32.8,4.20,7.7,294,537,637,-24.1,37.6,79.1,55.6,-53.8,25.3,12.6,10.8,528,0.930,,50.8,49.2
8,5:03:28.4 PM,1:55.3,34.5,4.34,8.2,307,534,656,-20.6,40.3,78.0,55.2,-52.0,26.0,12.3,10.5,586,0.900,,51.7,48.3
9,5:03:30.1 PM,1:53.8,34.2,4.40,7.7,307,538,646,-16.7,45.3,80.3,53.8,-53.1,27.3,14.2,12.3,590,0.899,,51.3,48.7
10,5:03:31.8 PM,1:53.8,34.4,4.39,7.5,316,551,673,-17.2,44.7,78.1,57.3,-52.1,25.9,11.9,8.9,580,0.901,,51.7,48.3
11,5:03:33.6 PM,1:53.6,37.0,4.40,7.6,360,583,704,-15.7,47.0,78.2,57.1,-52.5,25.7,12.6,8.5,521,0.856,,52.8,47.2
12,5:03:35.2 PM,1:50.4,37.4,4.53,7.8,339,544,700,-17.0,44.0,75.8,53.6,-50.4,25.4,13.7,8.5,536,0.750,,46.7,53.3
13,5:03:36.8 PM,1:48.8,35.4,4.60,7.4,333,564,733,-21.5,40.4,78.3,54.7,-53.1,25.2,13.6,10.0,433,0.886,,52.3,47.7
14,5:03:38.5 PM,1:50.7,37.1,4.51,7.3,281,455,650,-17.8,41.2,73.2,49.5,-48.0,25.2,12.7,11.0,569,0.780,,48.2,51.8
15,5:03:40.1 PM,1:49.9,38.1,4.55,7.4,275,434,605,-13.3,47.9,74.2,48.4,-48.9,25.3,17.4,8.4,574,0.751,,47.7,52.3
16,5:03:41.7 PM,1:47.0,36.0,4.67,8.0,309,514,659,-16.9,44.4,76.3,53.1,-50.8,25.5,13.1,10.1,554,0.884,,53.1,46.9
17,5:03:43.4 PM,1:47.7,36.7,4.64,7.5,303,495,679,-13.2,46.8,73.8,49.9,-47.8,26.0,13.3,10.6,581,0.810,,49.6,50.4
18,5:03:45.0 PM,1:48.5,37.7,4.61,7.4,312,496,692,-17.8,41.9,73.8,50.9,-48.7,25.1,11.8,11.1,568,0.825,,51.9,48.1
19,5:03:46.6 PM,1:47.1,36.4,4.67,7.4,333,549,720,-19.2,42.0,78.1,52.2,-52.0,26.1,15.6,10.2,416,0.838,,50.8,49.2
20,5:03:48.2 PM,1:46.7,37.0,4.69,7.6,321,521,702,-16.6,44.6,75.0,53.7,-50.1,24.9,11.8,9.5,523,0.841,,51.9,48.1
21,5:03:49.9 PM,1:47.9,35.7,4.63,7.5,254,427,609,-11.9,50.2,76.9,49.5,-50.5,26.4,17.6,9.7,613,0.735,,43.7,56.3
22,5:03:51.5 PM,1:49.4,36.4,4.57,7.3,312,515,694,-13.9,47.1,73.8,53.5,-48.7,25.1,12.5,7.9,609,0.838,,50.8,49.2
23,5:03:53.2 PM,1:50.6,36.3,4.52,7.0,325,537,732,-16.1,44.8,74.6,53.2,-49.4,25.1,12.0,9.4,578,0.856,,51.8,48.2
24,5:03:54.8 PM,1:50.4,37.4,4.53,7.5,324,520,711,-18.9,41.6,76.3,51.2,-50.7,25.6,13.0,12.1,528,0.823,,51.3,48.7
25,5:03:56.4 PM,1:48.8,35.4,4.60,8.2,313,531,681,-12.6,50.0,76.7,52.1,-50.9,25.8,13.8,10.8,439,0.900,,53.1,46.9
