Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:18.5 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:17.5 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:59.0,,,,,,,,,,,,,,,,,,,,
Distance,3004 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:09:18.5 PM,0:32:39.552000,26,0.26,6.7,222,513,539,-28.9,30.3,88.2,63.5,-55.6,32.6,11,13.7,774,1.08,,46.8,53.2
2,5:09:20.8 PM,0:24:55.088000,26.7,0.33,8.4,234,525,565,-27.7,32.2,88.3,59.9,-56.1,32.2,11.4,16.9,668,0.99,,44,56
3,5:09:23.0 PM,0:18:19.621000,29.8,0.45,8.1,256,515,574,-23.1,36.7,88.6,59.9,-55.6,33,11.8,16.9,575,0.9,,44.8,55.2
4,5:09:25.0 PM,0:02:26.759000,29,3.41,8.6,238,492,523,-23.2,35.8,89.5,57.5,-55.3,34.2,12.5,19.5,604,0.93,,44.9,55.1
5,5:09:27.1 PM,0:02:10.875000,28.6,3.82,8.9,191,401,443,-20.2,38.3,89.7,57.9,-54.6,35.1,13.5,18.3,682,1.02,,48.5,51.5
6,5:09:29.2 PM,0:02:01.759000,29.4,4.11,9,213,434,474,-20.4,39,88.4,56.8,-54.8,33.6,12.9,18.7,613,0.929,,45.6,54.4
7,5:09:31.3 PM,0:01:58.616000,29.4,4.22,8.5,235,481,528,-20.7,39.7,88.9,58,-56,32.9,13.2,17.6,612,0.873,,42.7,57.3
8,5:09:33.3 PM,0:01:57.309000,29.4,4.26,8.9,254,519,543,-22.1,39.3,91,61.7,-57.8,33.2,10.8,18.6,622,0.959,,47.1,52.9
9,5:09:35.3 PM,0:01:56.478000,29.4,4.29,8.7,213,434,482,-21.7,37.3,88.6,55.5,-54.8,33.8,14.1,18.9,641,0.87,,42.6,57.4
10,5:09:37.4 PM,0:01:56.551000,29.4,4.29,8.5,203,414,471,-17.6,44,90.3,57.7,-57.4,32.9,13.2,19.3,599,0.913,,44.8,55.2
