Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,7,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.8 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:18.2 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:07.3,,,,,,,,,,,,,,,,,,,,
Distance,2825 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:33:10.8 PM,0:36:18.408000,23.5,0.23,8.5,286,729,770,-9.7,52.5,91.4,70.3,-57.7,33.7,11.8,9.3,995,1.082,,42.4,57.6
2,4:33:13.3 PM,0:28:44.276000,24.7,0.29,8.6,302,734,746,-8.2,54.8,93.1,72.6,-59.2,33.9,13.7,6.7,839,1.077,,44.3,55.7
3,4:33:15.8 PM,0:22:32.796000,26.2,0.37,9.5,300,687,657,-7.1,55.9,96.7,73,-61.1,35.6,14.3,9.4,724,0.973,,42.4,57.6
4,4:33:18.0 PM,0:02:14.804000,25.6,3.71,9.9,270,633,654,-3.4,60.2,92.9,71.3,-59.3,33.6,16.5,5.1,702,1.021,,43.6,56.4
5,4:33:20.4 PM,0:02:06.090000,25.6,3.97,9.8,280,655,640,-14.2,48,93.8,72.9,-59.2,34.6,13.8,7.1,815,0.915,,39.1,60.9
6,4:33:22.7 PM,0:01:59,24.2,4.2,11,250,620,662,-14.4,48.6,93.8,72.5,-59.9,33.9,14.5,6.8,691,1.11,,44.8,55.2
7,4:33:25.2 PM,0:01:56.703000,25.7,4.28,9.6,264,618,705,-4.6,59.5,92.4,70.9,-59.6,32.9,15.5,6,664,1.094,,46.8,53.2
8,4:33:27.5 PM,0:01:57.970000,25.6,4.24,9.7,257,601,643,-6.4,56.9,92.2,72.7,-58.8,33.4,14.3,5.2,851,0.96,,41,59
9,4:33:29.9 PM,0:01:56.365000,23.8,4.3,11,224,564,603,-6.3,54.2,90.3,66.9,-55.2,35,15.2,8.2,684,0.976,,38.7,61.3
10,4:33:32.4 PM,0:01:57.998000,26.3,4.24,9.9,268,611,632,-8.2,52.2,91.9,69.7,-56.2,35.7,14.2,8,639,0.915,,40.1,59.9
