Athlete,Unspecified,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,10,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:17.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:18.7 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:12:00.7,,,,,,,,,,,,,,,,,,,,
Distance,3015 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,S,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:09:17.9 PM,0:33:56.732000,25.3,0.25,6.4,201,475,505,-13.9,48.5,80.1,58.5,-52.7,27.4,10.7,10.9,652,1.201,,50.7,49.3
2,5:09:20.3 PM,0:26:26.662000,27.8,0.32,8.2,231,500,559,-17.1,45,78.8,56.6,-52.6,26.2,12.1,10,618,1.022,,47.3,52.7
3,5:09:22.4 PM,0:20:21.610000,28.6,0.41,8.3,229,482,545,-20.9,41.4,80.6,56.1,-54.2,26.3,12.9,11.6,609,1.051,,50,50
4,5:09:24.5 PM,0:02:36.595000,29.4,3.19,8.5,209,426,524,-18.7,43.8,82.7,54.4,-54.9,27.8,15.8,12.5,704,0.9,,44.2,55.8
5,5:09:26.6 PM,0:02:13.158000,28.5,3.75,9.1,201,422,523,-18.6,42.8,80.3,53.4,-53,27.3,14,12.9,712,1.007,,47.9,52.1
6,5:09:28.7 PM,0:02:02.673000,29.4,4.08,8.4,202,413,525,-21.9,38.1,78.9,53.3,-51.9,26.9,13,12.5,659,1.007,,49.4,50.6
7,5:09:30.7 PM,0:01:59.897000,29.2,4.17,8.7,205,421,500,-20,41.8,80.9,53.1,-53.8,27.1,13.7,14.1,641,1.02,,49.7,50.3
8,5:09:32.8 PM,0:01:58.253000,29.6,4.23,8.7,222,450,549,-17.7,44.2,79.8,53.7,-53.1,26.8,14.3,11.8,667,0.988,,48.8,51.2
9,5:09:34.8 PM,0:01:56.530000,29.4,4.29,8.9,206,420,487,-14.6,49.2,81,54.1,-54.4,26.6,14.4,12.5,666,0.961,,47.1,52.9
10,5:09:36.8 PM,0:01:57.232000,30.1,4.27,8.4,200,398,509,-17.2,43.4,76.6,50.7,-50.5,26.1,13.5,12.3,671,0.944,,47.4,52.6
11,5:09:38.8 PM,0:01:56.061000,30,4.31,8.6,211,422,506,-21.2,39.7,78.9,53.8,-52.6,26.4,12.1,13,579,0.902,,45.2,54.8
12,5:09:40.8 PM,0:01:55.413000,30.3,4.33,8.5,198,392,508,-21.5,41.2,81.6,50.1,-55.1,26.4,17.6,13.8,605,0.84,,42.4,57.6
13,5:09:42.8 PM,0:01:56.226000,29.6,4.3,8.8,176,357,473,-17.7,44.8,81.3,49.3,-54.1,27.1,17.4,14.5,620,0.854,,42.2,57.8
14,5:09:44.8 PM,0:01:55.209000,30.1,4.34,8.8,198,395,511,-15.7,46,78.2,50.4,-51.7,26.5,13.6,14.1,660,0.976,,48.9,51.1
15,5:09:46.8 PM,0:01:54.171000,30.3,4.38,8.7,198,391,500,-18.2,43.3,78,52.5,-51.9,26.1,12.2,13.3,649,0.989,,50,50
16,5:09:48.8 PM,0:01:54.429000,29.8,4.37,8.6,178,359,476,-18.1,42,77.6,45.1,-50.7,26.9,15.1,17.4,657,0.886,,44,56
17,5:09:50.8 PM,0:01:53.814000,30.8,4.39,8.7,194,379,502,-19.4,43.5,82.1,49.9,-55.1,26.9,19,13.2,620,0.854,,43.8,56.2
18,5:09:52.8 PM,0:01:53.375000,29.8,4.41,9.1,188,379,503,-17.1,43.9,77.3,47.3,-50.9,26.3,14.9,15.1,611,1.007,,50,50
19,5:09:54.8 PM,0:01:53.221000,30.8,4.42,8.6,185,361,471,-18,42.2,76.9,47.1,-50.4,26.4,14.7,15.1,630,0.854,,43.8,56.2
20,5:09:56.7 PM,0:01:53.121000,32.5,4.42,8.1,219,404,509,-19.7,40,76.5,50.9,-50.2,26.3,12.3,13.3,637,0.795,,43.1,56.9
21,5:09:58.6 PM,0:01:51.637000,29.4,4.48,9.3,206,420,522,-22.8,37.8,78.1,52.7,-52.4,25.8,12.1,13.3,645,0.945,,46.3,53.7
22,5:10:00.6 PM,0:01:51.338000,30.1,4.49,9.1,186,370,478,-19.6,40.9,77.8,48.9,-51.4,26.4,13.9,15,690,0.959,,48.1,51.9
23,5:10:02.6 PM,0:01:51.401000,30.3,4.49,8.7,197,390,499,-15.6,46.8,79.1,50.1,-52.7,26.4,13.9,15.1,645,0.96,,48.5,51.5
24,5:10:04.6 PM,0:01:51.086000,29.6,4.5,9.1,199,403,515,-16.3,45.1,77.9,51.4,-51.5,26.4,12.3,14.3,632,0.945,,46.7,53.3
25,5:10:06.6 PM,0:01:50.862000,31,4.51,8.5,208,402,501,-20.7,39.3,77.3,51.4,-51.1,26.3,12.8,13.1,681,0.9,,46.5,53.5
26,5:10:08.6 PM,0:01:52.014000,29.9,4.46,8.4,203,407,526,-16.3,46.3,78,49.2,-52.4,25.6,14.8,14,647,0.991,,49.3,50.7
27,5:10:10.6 PM,0:01:53.783000,31.7,4.39,8.2,200,378,506,-19.2,42.2,79.3,51.6,-52.7,26.6,14.5,13.2,638,0.796,,42.1,57.9
28,5:10:12.5 PM,0:01:54.207000,29.6,4.38,9,203,410,515,-23.4,37.1,79.9,52.4,-53.1,26.8,12.9,14.7,606,0.901,,44.5,55.5
29,5:10:14.5 PM,0:01:54.101000,29.6,4.38,9,171,346,466,-22.8,38.5,80.5,49,-53.8,26.7,13.9,17.6,690,0.872,,43,57
30,5:10:16.5 PM,0:01:53.890000,30.8,4.39,8.5,207,403,518,-21.8,41.3,80.8,51.9,-55.2,25.6,14.1,14.8,638,0.868,,44.5,55.5
31,5:10:18.5 PM,0:01:52.716000,29,4.44,9.2,202,419,512,-21.6,41.1,81.8,52.3,-55.2,26.5,14.6,14.8,612,1.019,,49.3,50.7
32,5:10:20.5 PM,0:01:52.112000,30.7,4.46,8.6,214,419,492,-19.9,43.3,81.5,53.7,-55.2,26.3,14.3,13.4,631,0.962,,49.3,50.7
33,5:10:22.5 PM,0:01:52.946000,29.4,4.43,9.1,201,410,522,-21.7,40.1,79.6,50.9,-53.6,25.9,13.2,15.5,614,0.974,,47.8,52.2
34,5:10:24.5 PM,0:01:52.888000,29.9,4.43,8.4,193,387,502,-22.4,40.6,82.1,52.6,-55.7,26.4,14.5,14.9,635,0.884,,44,56
35,5:10:26.5 PM,0:01:53.907000,29.9,4.39,8.7,178,358,482,-19.6,44.4,82.5,48.9,-56.2,26.3,17.5,16.1,646,0.869,,43.2,56.8
36,5:10:28.5 PM,0:01:55.076000,28.8,4.34,8.7,179,373,476,-22.1,40,80.9,51.9,-54.4,26.4,14.3,14.7,654,1.035,,49.6,50.4
37,5:10:30.6 PM,0:01:56.005000,30.3,4.31,8.6,183,363,465,-18.7,44.7,81.9,49.8,-55.3,26.6,17.2,14.9,623,0.887,,44.8,55.2
38,5:10:32.6 PM,0:01:57.885000,30.1,4.24,8.2,181,361,458,-19.7,42,78.4,50,-52.6,25.8,12.4,16,657,0.929,,46.6,53.4
39,5:10:34.6 PM,0:01:57.532000,29.6,4.25,8.8,170,345,438,-15.9,45.8,78.8,48.6,-52,26.8,15.2,15,657,0.856,,42.3,57.7
40,5:10:36.6 PM,0:01:57.635000,28.8,4.25,8.8,158,329,423,-14.1,48.6,80.4,48.2,-53.2,27.2,15.4,16.8,681,0.931,,44.7,55.3
41,5:10:38.7 PM,0:01:57.703000,31,4.25,8.1,145,280,373,-17.6,42.1,75.4,44.6,-49.4,26,16.2,14.5,672,0.959,,49.6,50.4
42,5:10:40.6 PM,0:01:58.556000,29.6,4.22,8.3,171,345,454,-20.9,39,78.5,48.3,-51.5,27,13.7,16.5,622,0.901,,44.5,55.5
43,5:10:42.7 PM,0:01:58.758000,29.9,4.21,8.3,180,362,467,-20.1,40,78.3,49.8,-51.4,26.8,14.8,13.7,674,0.962,,47.9,52.1
44,5:10:44.7 PM,0:01:59.756000,29.4,4.18,8.6,166,338,455,-18.9,41.8,78.5,47,-51.7,26.8,14.9,16.6,667,0.99,,48.5,51.5
