Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:58:55.8 PM,37:47.6,34.8,0.22,6.5,405,698,753,-11.9,50.7,81.3,63.4,-53.2,28.1,12.0,5.9,467,0.899,,52.1,47.9
2,4:58:57.5 PM,28:53.6,38.5,0.29,6.3,358,558,742,-6.4,58.2,75.5,54.2,-50.3,25.2,14.2,7.1,494,0.781,,50.1,49.9
3,4:58:59.1 PM,22:58.4,40.8,0.36,6.1,392,576,746,-11.5,51.7,76.8,59.2,-51.2,25.6,12.8,4.9,431,0.751,,51.0,49.0
4,4:59:00.5 PM,19:24.6,44.1,0.43,5.7,416,566,747,-7.0,59.0,76.5,61.0,-52.1,24.4,11.9,3.6,450,0.703,,51.6,48.4
5,4:59:01.9 PM,3:43.5,42.0,2.24,7.3,411,586,766,-9.7,53.6,77.1,59.6,-51.0,26.1,12.7,4.9,443,0.721,,50.5,49.5
6,4:59:03.3 PM,2:01.1,42.6,4.13,7.2,383,540,720,-10.2,52.2,78.6,58.4,-51.2,27.4,14.2,5.9,436,0.721,,51.1,48.9
7,4:59:04.7 PM,1:50.5,44.5,4.53,7.1,323,436,693,-8.6,55.8,75.0,52.6,-50.4,24.6,14.8,7.6,472,0.689,,51.1,48.9
8,4:59:06.1 PM,1:46.8,41.7,4.68,6.8,365,525,715,-11.8,53.8,78.6,54.7,-54.1,24.5,16.5,7.4,448,0.719,,49.9,50.1
9,4:59:07.5 PM,1:43.7,43.4,4.82,7.0,278,384,585,-4.5,59.5,81.9,52.0,-53.2,28.6,22.6,7.3,433,0.722,,52.3,47.7
10,4:59:08.9 PM,1:40.6,40.9,4.97,7.0,348,511,726,-10.5,53.3,79.1,56.7,-52.6,26.4,14.8,7.5,471,0.734,,50.0,50.0
11,4:59:10.4 PM,1:38.5,43.4,5.08,7.0,339,469,656,-14.9,47.0,81.1,56.1,-52.9,28.1,18.5,6.5,460,0.677,,49.0,51.0
12,4:59:11.8 PM,1:39.1,40.8,5.05,7.0,343,504,743,-10.4,53.7,77.6,54.7,-52.1,25.5,16.7,6.2,467,0.766,,52.1,47.9
