Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:58:53.8 PM,89:17.6,29.2,0.09,0.2,379,778,822,-10.0,49.9,86.8,74.1,-53.3,33.4,6.6,6.1,501,1.094,,53.3,46.7
2,4:58:55.9 PM,47:33.2,35.7,0.18,5.8,421,708,781,-5.1,55.0,85.4,67.9,-52.1,33.3,11.0,6.5,508,1.022,,60.8,39.2
3,4:58:57.5 PM,31:24.6,37.4,0.27,6.3,487,780,831,-4.3,56.7,86.1,75.3,-53.1,32.9,7.9,2.9,469,0.855,,53.3,46.7
4,4:58:59.1 PM,23:18.7,43.4,0.36,5.3,420,580,688,-5.7,51.0,83.8,61.9,-48.4,35.3,15.6,6.2,426,0.735,,53.2,46.8
5,4:59:00.5 PM,18:36.5,41.7,0.45,6.9,495,713,834,-5.2,54.6,88.0,75.4,-53.2,34.8,9.1,3.6,425,0.734,,51.0,49.0
6,4:59:02.0 PM,14:58.7,43.0,0.56,6.8,488,681,796,-4.9,53.4,86.1,71.3,-50.9,35.1,11.3,3.5,441,0.735,,52.7,47.3
7,4:59:03.4 PM,2:05.9,44.0,3.97,6.7,489,667,772,-5.1,55.9,89.2,72.1,-54.9,34.3,13.7,3.4,446,0.720,,52.7,47.3
8,4:59:04.7 PM,1:51.9,41.7,4.47,7.3,453,651,740,-1.5,57.5,83.4,66.6,-49.4,34.0,12.6,4.2,465,0.735,,51.1,48.9
9,4:59:06.2 PM,1:46.7,44.0,4.69,6.3,434,592,727,-3.1,56.8,81.4,66.0,-49.3,32.1,12.8,2.6,476,0.748,,54.8,45.2
10,4:59:07.5 PM,1:44.0,42.5,4.81,7.3,457,645,743,-6.7,53.8,84.8,81.5,-52.4,32.4,0.3,3.0,489,0.750,,53.2,46.8
11,4:59:08.9 PM,1:40.7,42.1,4.96,6.8,414,589,759,-6.9,53.3,85.3,67.4,-52.4,32.9,13.6,4.3,427,0.721,,50.6,49.4
12,4:59:10.4 PM,1:40.4,41.7,4.98,7.3,411,592,706,-5.3,57.1,86.2,70.4,-54.6,31.6,10.0,5.7,427,0.736,,51.1,48.9
13,4:59:11.8 PM,1:39.2,40.4,5.04,7.6,433,643,706,-2.2,58.3,89.1,71.2,-54.2,34.9,12.5,5.5,449,0.810,,54.6,45.4
14,4:59:13.3 PM,1:39.7,40.0,5.02,7.8,376,564,690,-5.4,54.0,87.3,69.8,-52.5,34.8,12.9,4.6,504,0.764,,50.9,49.1
15,4:59:14.8 PM,1:39.4,38.1,5.03,7.4,379,596,665,-7.9,53.0,88.0,70.2,-54.5,33.5,12.4,5.3,525,0.766,,48.6,51.4
16,4:59:16.4 PM,1:39.7,34.5,5.02,8.4,357,620,722,-3.7,59.7,88.5,74.3,-56.6,31.9,9.8,4.4,579,0.839,,48.2,51.8
17,4:59:18.1 PM,1:40.4,34.8,4.98,8.2,382,660,687,-8.1,52.4,88.3,70.0,-54.4,33.9,12.9,5.5,570,0.810,,46.9,53.1
18,4:59:19.8 PM,1:42.2,33.4,4.89,7.9,366,658,733,-7.7,54.9,89.8,72.2,-56.9,32.8,11.5,6.0,549,0.838,,46.6,53.4
19,4:59:21.6 PM,1:44.2,35.1,4.80,8.1,355,607,663,0.5,60.9,91.5,69.3,-55.2,36.3,15.7,6.5,547,0.809,,47.3,52.7
20,4:59:23.3 PM,1:46.0,31.7,4.72,9.1,335,634,699,-6.6,56.4,88.6,70.7,-56.5,32.1,12.7,5.2,583,0.901,,47.6,52.4
21,4:59:25.2 PM,1:45.2,33.9,4.75,8.6,325,575,631,-6.3,57.9,90.2,70.0,-58.5,31.7,16.0,4.2,598,0.795,,44.9,55.1
22,4:59:27.0 PM,1:46.4,31.8,4.70,8.2,346,653,696,-6.6,56.7,88.0,71.0,-56.5,31.5,12.4,4.6,560,0.944,,50.0,50.0
23,4:59:28.9 PM,1:47.5,35.4,4.65,7.4,354,599,630,-5.2,57.0,91.4,71.3,-57.3,34.1,13.7,6.4,538,0.884,,52.2,47.8
24,4:59:30.6 PM,1:47.7,34.8,4.64,7.9,349,602,669,-8.5,51.9,88.1,68.6,-54.2,33.9,11.6,7.8,534,0.870,,50.4,49.6
25,4:59:32.3 PM,1:48.1,35.4,4.63,8.0,331,560,656,-6.0,54.8,87.5,67.9,-53.9,33.6,13.9,5.8,536,0.795,,46.9,53.1
26,4:59:34.0 PM,1:48.3,33.1,4.62,8.8,293,532,633,-5.1,56.4,84.4,66.8,-52.7,31.7,13.8,3.8,566,0.915,,50.4,49.6
27,4:59:35.8 PM,1:48.9,35.1,4.59,7.5,347,594,699,-9.2,53.5,87.3,69.9,-55.9,31.4,10.6,6.9,544,0.840,,49.1,50.9
