Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:58:55.8 PM,33:21.1,36.4,0.25,5.9,365,603,753,-1.9,60.2,71.8,56.8,-45.1,26.6,10.6,4.4,430,0.870,,52.7,47.3
2,4:58:57.4 PM,27:13.4,40.8,0.31,5.8,432,634,837,-8.7,49.5,71.1,53.2,-43.9,27.2,13.5,4.3,520,0.720,,49.0,51.0
3,4:58:58.9 PM,21:56.8,37.0,0.38,6.6,393,636,882,-18.3,38.7,70.5,54.7,-45.6,24.9,11.4,4.5,394,0.764,,47.2,52.8
4,4:59:00.5 PM,17:53.5,46.5,0.47,6.2,455,588,809,-10.4,46.1,67.2,51.3,-41.4,25.8,10.7,5.2,474,0.601,,46.6,53.4
5,4:59:01.8 PM,4:03.9,40.8,2.05,7.3,427,628,825,-12.3,47.0,70.9,53.2,-45.7,25.3,11.2,6.6,429,0.720,,49.0,51.0
6,4:59:03.3 PM,1:59.8,43.4,4.17,6.7,410,567,786,-12.1,47.4,70.9,51.1,-45.7,25.1,15.4,4.4,438,0.661,,47.9,52.1
7,4:59:04.6 PM,1:50.7,43.1,4.52,7.4,438,611,868,-12.3,50.5,75.8,50.4,-50.6,25.2,19.6,5.8,452,0.659,,47.3,52.7
8,4:59:06.0 PM,1:45.8,42.9,4.72,6.6,441,615,826,-10.7,47.6,70.4,53.0,-44.2,26.2,11.9,5.5,452,0.736,,52.7,47.3
9,4:59:07.4 PM,1:42.5,44.5,4.88,7.0,446,602,818,-10.7,48.6,70.8,57.3,-45.1,25.7,10.9,2.6,469,0.597,,44.3,55.7
10,4:59:08.8 PM,1:39.8,40.8,5.01,7.1,414,609,842,-14.4,44.7,71.8,52.2,-46.4,25.3,13.4,6.2,490,0.632,,42.9,57.1
11,4:59:10.2 PM,1:39.2,44.0,5.04,7.1,458,624,834,-9.6,50.4,71.1,53.8,-45.4,25.6,12.0,5.3,522,0.615,,45.1,54.9
12,4:59:11.6 PM,1:38.5,41.7,5.08,7.4,449,646,874,-12.7,48.5,75.2,57.4,-49.2,26.0,14.2,3.6,529,0.598,,41.5,58.5
13,4:59:13.0 PM,1:38.9,36.0,5.05,8.1,349,581,768,-18.0,40.8,75.4,53.8,-48.7,26.7,12.8,8.9,546,0.811,,48.7,51.3
14,4:59:14.7 PM,1:39.1,36.4,5.04,8.3,323,532,692,-15.1,45.0,75.6,56.1,-49.1,26.5,12.3,7.2,431,0.810,,49.1,50.9
15,4:59:16.4 PM,1:39.9,35.7,5.01,8.2,304,511,676,-15.3,45.9,78.5,51.7,-51.3,27.2,17.6,9.2,616,0.809,,48.2,51.8
16,4:59:18.0 PM,1:39.9,33.6,5.00,8.8,289,515,645,-16.7,43.1,76.9,55.4,-49.9,27.1,12.9,8.7,521,0.900,,50.4,49.6
17,4:59:19.8 PM,1:41.3,34.5,4.93,8.2,309,538,688,-16.4,42.1,74.7,54.5,-47.9,26.8,12.4,7.8,771,0.840,,48.2,51.8
18,4:59:21.6 PM,1:43.5,33.3,4.83,8.3,304,548,679,-21.6,38.6,77.6,58.2,-51.6,26.1,11.5,7.9,562,0.918,,50.9,49.1
19,4:59:23.4 PM,1:44.6,33.7,4.78,8.2,292,519,634,-20.1,40.0,77.1,54.9,-50.9,26.1,14.4,7.7,565,0.898,,50.4,49.6
20,4:59:25.2 PM,1:45.7,33.3,4.73,8.3,319,575,715,-17.4,45.1,79.3,56.5,-53.1,26.1,14.2,8.5,543,0.841,,46.7,53.3
21,4:59:27.0 PM,1:47.1,34.5,4.67,8.3,323,561,713,-23.0,36.6,76.6,56.3,-51.0,25.6,12.8,7.6,517,0.869,,50.0,50.0
