Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,6,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:18.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:07.3,,,,,,,,,,,,,,,,,,,,
Distance,2824 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:33:10.9 PM,0:35:58.661000,24.1,0.23,8.9,259,644,646,-13.6,50,88.3,67.8,-57.7,30.5,10.2,10.2,814,1.157,,46.4,53.6
2,4:33:13.4 PM,0:28:52.414000,25.8,0.29,8.1,251,583,632,-9.1,55.3,87.5,64.4,-57.4,30.1,12.7,10.4,699,1.004,,43.2,56.8
3,4:33:15.7 PM,0:22:58.236000,26.3,0.36,9.3,234,535,595,-7.6,56.4,87.8,62.1,-57.1,30.7,18,7.7,794,0.962,,42.2,57.8
4,4:33:18.0 PM,0:02:15.511000,25.8,3.69,9.6,256,594,655,-6.7,57.7,88.8,64.7,-57.9,30.8,14.8,9.3,695,0.961,,41.4,58.6
5,4:33:20.3 PM,0:02:07.636000,24.4,3.92,10.6,243,599,644,-11.2,53.1,89.3,66.6,-58.6,30.7,11.8,10.9,679,0.976,,39.7,60.3
6,4:33:22.8 PM,0:02:01.435000,26.1,4.12,9.7,272,626,659,-14.9,48.8,89.2,66.1,-58.4,30.8,12.3,10.7,670,0.965,,42,58
7,4:33:25.1 PM,0:01:59.582000,24.9,4.18,9.9,255,615,615,-12.7,50.7,89.8,65.7,-58.2,31.6,13.5,10.6,728,0.914,,37.9,62.1
8,4:33:27.5 PM,0:01:58.541000,24.1,4.22,10.6,218,543,583,-15.5,48.8,90.5,64.7,-59.6,30.9,16.9,8.9,613,1.063,,42.7,57.3
9,4:33:30.0 PM,0:01:59.155000,25,4.2,10.2,250,600,678,-8,56.6,87.7,63,-57.6,30.1,14.3,10.4,643,1.065,,44.4,55.6
10,4:33:32.4 PM,0:01:58.813000,25,4.21,10.2,237,570,653,-10.2,53.4,86.2,63.7,-56.2,29.9,14.2,8.3,828,0.99,,41.3,58.8
11,4:33:34.8 PM,0:01:57.255000,26.9,4.26,9.9,261,582,634,-10.9,52.3,89.3,62.5,-57.6,31.6,14.8,11.9,535,0.976,,43.7,56.3
12,4:33:37.0 PM,0:01:57.061000,25.6,4.27,10,256,600,650,-10.4,51.3,92.4,66.5,-57.8,34.6,13.1,12.8,605,0.973,,41.6,58.4
13,4:33:39.3 PM,0:01:56.050000,24.2,4.31,10.8,240,595,648,-7.8,55.8,88.2,65.9,-57.1,31.1,11.9,10.3,683,1.021,,41.2,58.8
