Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:02.2 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:04:00.2 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:10:58.0,,,,,,,,,,,,,,,,,,,,
Distance,2838 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:53:02.2 PM,0:51:35.971000,23.7,0.16,7.8,266,675,685,-10.4,51,89,69.5,-55.7,33.3,10.7,8.8,689,1.063,,42,58
2,4:53:04.7 PM,0:45:51.485000,26.8,0.18,8.3,268,598,682,-3.1,57.2,90.9,62.2,-55.1,35.9,20.1,8.6,749,0.989,,44.3,55.7
3,4:53:07.0 PM,0:23:30.003000,27.4,0.35,9.2,269,589,615,-6.4,55.7,90.8,68.7,-57,33.8,15.3,6.8,616,0.886,,40.4,59.6
4,4:53:09.2 PM,0:02:19.169000,28.6,3.59,8.9,304,638,695,-11.4,49.6,88.6,69.2,-55.3,33.3,12.9,6.5,680,0.826,,39.3,60.7
5,4:53:11.3 PM,0:02:06.965000,28.4,3.94,9,326,690,716,-8.4,54,94.8,75.2,-59.6,35.2,12.6,6.9,669,0.915,,43.3,56.7
6,4:53:13.4 PM,0:02:00.410000,27.2,4.15,9.5,293,646,691,-5.2,58.7,94.6,72.6,-60.7,33.9,14.8,7.2,670,0.992,,45,55
7,4:53:15.6 PM,0:01:57.369000,28.2,4.26,9.1,298,634,703,-14.7,49.8,92.6,71.5,-60.7,31.8,14.9,6.1,709,0.914,,43,57
8,4:53:17.7 PM,0:01:56.450000,29,4.29,9.2,297,614,664,-5.2,55,95.3,70.1,-57.7,37.6,15.1,10.1,691,0.958,,46.3,53.7
9,4:53:19.8 PM,0:01:54.970000,27.4,4.35,10.2,262,574,612,-6.3,54.3,96.9,72.5,-58.9,37.9,13,11.4,662,0.961,,43.9,56.1
10,4:53:22.0 PM,0:01:51.901000,27,4.47,10.1,230,512,577,-6.3,53,93.3,66.7,-55.8,37.5,13.9,12.7,734,0.87,,39.2,60.8
11,4:53:24.2 PM,0:01:51.200000,26.3,4.5,9.9,251,571,616,-6.5,55.4,94.5,69.9,-58.9,35.6,16.3,8.4,648,0.9,,39.5,60.5
12,4:53:26.5 PM,0:01:51.645000,27,4.48,9.4,242,538,601,-3.3,58.8,93.8,69.6,-58.5,35.3,14.9,9.4,640,0.915,,41.2,58.8
13,4:53:28.7 PM,0:01:53.463000,26.7,4.41,10,231,519,568,-5.1,57.2,89.8,67.1,-56.5,33.3,16,6.6,760,0.871,,38.7,61.3
14,4:53:31.0 PM,0:01:53.994000,26.8,4.39,10.3,234,523,555,-6.2,56.6,92.9,70.1,-58.8,34.1,15.1,7.7,662,0.856,,38.3,61.7
15,4:53:33.2 PM,0:01:54.097000,27.2,4.38,9.7,259,571,630,-9.4,50.4,96.6,69.8,-58.1,38.6,13.8,13,666,0.944,,42.8,57.2
16,4:53:35.4 PM,0:01:54.412000,26.7,4.37,9.4,199,447,529,3.4,66.7,90.8,62.3,-57.1,33.6,21.5,7,624,0.96,,42.7,57.3
17,4:53:37.6 PM,0:01:53.445000,29.6,4.41,8.9,267,540,596,-4.9,57.5,91.3,64.3,-57.3,33.9,18.4,8.5,683,0.841,,41.5,58.5
18,4:53:39.7 PM,0:01:53.310000,29.4,4.41,9.6,235,479,564,-1.9,58.4,89.3,59.4,-54.1,35.2,19.3,10.5,668,0.823,,40.4,59.6
19,4:53:41.7 PM,0:01:53.698000,28.4,4.4,9.5,275,581,656,-6.9,53.8,91.6,67.5,-56.2,35.4,14.3,9.8,606,0.855,,40.4,59.6
20,4:53:43.8 PM,0:01:52.281000,28.2,4.45,9.9,255,544,605,-7.1,54.2,90.7,65.9,-56.2,34.5,14.5,10.3,644,0.946,,44.4,55.6
21,4:53:46.0 PM,0:01:50.294000,28.2,4.53,9.9,202,430,486,-0.9,63.7,91,66.2,-58.9,32.1,17.4,7.4,731,0.959,,45,55
22,4:53:48.1 PM,0:01:49.630000,27.8,4.56,9.4,250,540,604,-5.1,55,91.6,67.7,-55.5,36.1,13.8,10.2,676,0.866,,40.1,59.9
23,4:53:50.2 PM,0:01:50.669000,27.8,4.52,9.3,254,548,602,-5.9,54.3,94.7,68.5,-57.2,37.4,14.3,11.8,618,0.93,,43.1,56.9
24,4:53:52.4 PM,0:01:52.814000,27.4,4.43,9.6,218,479,535,-6.7,57.3,93.8,68.8,-60.5,33.3,17.8,7.2,699,0.99,,45.2,54.8
25,4:53:54.6 PM,0:01:54.186000,27.6,4.38,9.3,187,407,496,5.1,68.1,93.9,53.6,-58.9,35.1,31.1,9.3,790,0.949,,43.6,56.4
26,4:53:56.8 PM,0:01:55.956000,27.6,4.31,9.5,261,566,625,-5.2,56.5,93.1,67.4,-57.8,35.3,16.1,9.6,683,1.017,,46.8,53.2
