Athlete,Unspecified,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,7,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.3 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:17.7 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:07.3,,,,,,,,,,,,,,,,,,,,
Distance,2824 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,S,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:33:10.3 PM,0:35:11.279000,23.7,0.24,8.6,237,602,607,-11.6,52.8,86,65.9,-57.1,28.9,10.9,9.3,838,1.124,,44.4,55.6
2,4:33:12.8 PM,0:27:55.245000,25.5,0.3,8.8,256,603,617,-8.7,55.5,84.5,62.3,-55.6,28.9,12.8,9.4,791,0.973,,41.3,58.7
3,4:33:15.2 PM,0:21:47.885000,26.3,0.38,9.4,220,501,611,-4.6,59.3,82.8,54.4,-53.7,29.1,19,9.3,833,0.9,,39.5,60.5
4,4:33:17.5 PM,0:02:13.893000,25.3,3.73,9.5,217,515,614,-5.5,59,84.3,56.7,-55.2,29.1,16.9,10.7,692,0.931,,39.3,60.7
5,4:33:19.8 PM,0:02:07.870000,25.3,3.91,9.4,226,535,612,-17.7,45.7,84.6,58.8,-56.4,28.2,15.3,10.5,673,0.901,,38,62
6,4:33:22.2 PM,0:02:02.199000,25.1,4.09,10.7,221,528,560,-21.2,40.3,82.8,60.2,-54.6,28.1,13.5,9.1,707,0.945,,39.6,60.4
7,4:33:24.6 PM,0:01:59.409000,25,4.19,10.2,231,554,605,-9.9,54.2,85.2,61.2,-56.1,29.1,15,9,749,0.976,,40.7,59.3
8,4:33:27.0 PM,0:01:57.532000,25.2,4.25,10.8,210,502,575,-11.4,52.4,83.2,58.8,-55,28.2,16.6,7.8,647,0.871,,36.5,63.5
9,4:33:29.4 PM,0:01:54.935000,24.9,4.35,10.1,218,527,591,-10.2,55.2,85.7,58.8,-57.5,28.2,17,9.9,644,0.899,,37.2,62.8
10,4:33:31.8 PM,0:01:55.923000,25.6,4.31,10.2,239,560,630,-14.2,48.7,82.7,58.8,-54.5,28.2,15.7,8.3,858,0.884,,37.8,62.2
11,4:33:34.1 PM,0:01:55.976000,25.8,4.31,10.1,241,561,615,-6.4,58.7,83.4,61.6,-55.3,28.1,12.9,8.9,525,1.005,,43.2,56.8
12,4:33:36.5 PM,0:01:57.005000,25.3,4.27,10.1,211,501,538,-18.9,42.6,83.3,58.3,-54.4,28.9,14.7,10.3,581,0.996,,41.9,58.1
13,4:33:38.8 PM,0:01:57.279000,25,4.26,10,227,545,608,-14.4,49.3,84.4,60.2,-56,28.4,12.9,11.3,677,1.022,,42.7,57.3
14,4:33:41.2 PM,0:01:56.966000,24.7,4.27,10.9,220,533,570,-24.5,36.6,83.8,60.2,-55.2,28.6,13.5,10.1,710,1.047,,43.1,56.9
15,4:33:43.7 PM,0:01:57.441000,25,4.26,10.1,221,530,565,-15.3,48.5,85.6,62.6,-56.8,28.8,13,10.1,691,1.02,,42.5,57.5
16,4:33:46.1 PM,0:01:57.522000,25.7,4.25,9.9,231,541,592,-12.1,52.2,85,60.8,-56.5,28.5,15.3,8.9,643,1.003,,42.9,57.1
17,4:33:48.4 PM,0:01:56.075000,27,4.31,9.7,205,456,543,-12.6,51.3,85.1,53.9,-56.2,28.8,20.4,10.7,668,0.87,,39.2,60.8
18,4:33:50.6 PM,0:01:57.404000,26,4.26,9.6,217,502,579,-7.9,55.7,82.6,59,-53.9,28.6,14.9,8.7,617,0.961,,41.6,58.4
19,4:33:52.9 PM,0:01:57.052000,26,4.27,10.3,231,533,613,-7.9,57,83.1,59,-55.2,27.8,14.3,9.8,600,1.019,,44.1,55.9
20,4:33:55.2 PM,0:01:56.806000,26.7,4.28,9.6,239,538,586,-12.6,50.6,82.8,57.6,-54.5,28.3,15.5,9.8,678,0.974,,43.3,56.7
21,4:33:57.5 PM,0:01:56.995000,25.9,4.27,9.8,200,463,554,-15.1,46.4,80.9,54.5,-52.6,28.3,15.9,10.5,684,0.96,,41.5,58.5
22,4:33:59.8 PM,0:01:56.154000,26,4.3,10.3,224,518,592,-7.6,56.1,81.4,56.8,-53.3,28.1,14.8,9.7,687,1.021,,44.2,55.8
23,4:34:02.1 PM,0:01:55.403000,26.3,4.33,10.4,215,490,534,-11.5,51,82.5,60.5,-53.6,28.9,13.1,8.9,630,1.019,,44.7,55.3
24,4:34:04.4 PM,0:01:54.298000,26,4.37,10,228,526,606,-14,50.1,85.6,59.6,-56.9,28.7,14.8,11.2,623,0.989,,42.8,57.2
25,4:34:06.7 PM,0:01:54.747000,26,4.36,9.6,251,580,634,-9.4,54.3,85.1,63.8,-55.6,29.5,12.3,8.9,685,1.02,,44.1,55.9
26,4:34:09.0 PM,0:01:55.740000,26.3,4.32,10.4,242,552,609,-11.5,52.9,84.8,60.6,-56.3,28.4,16.1,8.1,659,0.96,,42.1,57.9
27,4:34:11.3 PM,0:01:54.465000,26.3,4.37,10.1,213,487,551,-8.2,56.2,87.9,59.2,-57.7,30.3,18.5,10.2,716,0.899,,39.4,60.6
28,4:34:13.6 PM,0:01:54.910000,26.7,4.35,9.6,222,499,583,-7.9,56.7,83.8,56.1,-55.4,28.3,17,10.6,711,0.841,,37.4,62.6
29,4:34:15.8 PM,0:01:55.073000,25.6,4.35,10.3,237,555,596,-17.6,44.8,83.1,60.1,-54.7,28.3,13,10,674,1.021,,43.6,56.4
30,4:34:18.2 PM,0:01:54.016000,25.6,4.39,10.2,213,498,585,-12.9,50.1,83.1,55.8,-54.5,28.6,15,12.2,748,1.02,,43.6,56.4
31,4:34:20.5 PM,0:01:56.157000,26.2,4.3,9.6,227,522,596,-11.7,51.5,84.1,57.5,-55.1,29.1,14.2,12.5,697,1.019,,44.4,55.6
32,4:34:22.8 PM,0:01:56.947000,26.3,4.28,9.5,230,524,581,-10.4,53.2,82.8,59.7,-54.4,28.3,13.8,9.3,668,0.944,,41.4,58.6
33,4:34:25.1 PM,0:01:56.350000,25.5,4.3,10.8,214,503,570,-10.1,52.6,82.9,57.2,-53.7,29.2,14.6,11.1,697,1.021,,43.3,56.7
34,4:34:27.4 PM,0:01:55.638000,26,4.32,10.5,224,518,574,-10.3,52.8,84.1,60.1,-54.7,29.4,13.8,10.3,657,1.019,,44.2,55.8
35,4:34:29.7 PM,0:01:54.494000,26,4.37,9.8,240,554,573,-6.1,58.2,84.9,64.4,-55.6,29.3,12.6,7.8,680,0.99,,42.8,57.2
36,4:34:32.1 PM,0:01:54.793000,25.7,4.36,9.7,217,507,513,-3,62.6,85.3,61.2,-56.4,28.9,14.4,9.7,577,1.017,,43.5,56.5
37,4:34:34.4 PM,0:01:56.139000,25.8,4.31,9.5,220,511,572,-11.2,51.1,83.3,57.5,-53.7,29.6,13.9,11.9,716,1.036,,44.5,55.5
38,4:34:36.7 PM,0:01:59.136000,26.2,4.2,9.4,222,509,564,-12.7,49.7,83.3,60.2,-54.1,29.2,13.3,9.7,671,0.975,,42.5,57.5
39,4:34:39.0 PM,0:02:00.773000,25.3,4.14,10.4,230,545,574,-10.7,53.6,85.6,62,-56.6,29,14.6,9,636,1.021,,43,57
40,4:34:41.4 PM,0:01:59.432000,26.3,4.19,9.5,224,510,608,-7.6,56.1,84.2,58.4,-54.8,29.4,17,8.8,715,0.871,,38.2,61.8
41,4:34:43.7 PM,0:02:00.745000,26.3,4.14,8.9,222,506,602,-12.8,49.3,81.8,57.5,-53.1,28.6,13.9,10.3,728,1.006,,44.1,55.9
42,4:34:45.9 PM,0:02:00.781000,26.1,4.14,9.9,230,528,608,-6.6,57.5,83.2,59.6,-54.4,28.8,12.8,10.8,671,1.022,,44.5,55.5
43,4:34:48.2 PM,0:01:59.678000,26.3,4.18,9.8,213,486,576,-12.3,50.2,82.2,54.9,-53.6,28.6,17.5,9.8,797,0.84,,36.9,63.1
44,4:34:50.5 PM,0:02:00.685000,26.3,4.14,9.2,213,486,570,-8.9,55.4,83.6,57.8,-55.2,28.4,14.6,11.2,702,0.855,,37.5,62.5
